VALUE,LABEL
-1,INAPPLICABLE 
-9,NOT ASCERTAINED  
1,TUBERCULOSIS  
2,SEPTICEMIA (EXCEPT IN LABOR)  
3,BACTERIAL INFECTION
4,MYCOSES  
5,HIV INFECTION  
6,HEPATITIS  
7,VIRAL INFECTION 
8,OTHER INFECTIONS
9,SEXUALLY TRANSMITTED INFECTIONS (NOT  
10,IMMUNIZATIONS AND SCREENING FOR INFE  
11,CANCER OF HEAD AND NECK  
13,CANCER OF STOMACH  
14,CANCER OF COLON  
15,CANCER OF RECTUM AND ANUS  
16,CANCER OF LIVER AND INTRAHEPATIC BIL  
17,CANCER OF PANCREAS  
19,CANCER OF BRONCHUS
21,CANCER OF BONE AND CONNECTIVE TISSUE  
22,MELANOMAS OF SKIN  
23,OTHER NON-EPITHELIAL CANCER OF SKIN  
24,CANCER OF BREAST  
25,CANCER OF UTERUS  
26,CANCER OF CERVIX  
27,CANCER OF OVARY  
28,CANCER OF OTHER FEMALE GENITAL ORGAN  
29,CANCER OF PROSTATE  
30,CANCER OF TESTIS  
32,CANCER OF BLADDER  
33,CANCER OF KIDNEY AND RENAL PELVIS  
36,CANCER OF THYROID  
38,NON-HODGKIN'S LYMPHOMA  
39,LEUKEMIAS  
41,CANCER
42,SECONDARY MALIGNANCIES  
43,MALIGNANT NEOPLASM WITHOUT SPECIFICA  
44,NEOPLASMS OF UNSPECIFIED NATURE OR U  
45,MAINTENANCE CHEMOTHERAPY
46,BENIGN NEOPLASM OF UTERUS  
47,OTHER AND UNSPECIFIED BENIGN NEOPLAS  
48,THYROID DISORDERS 
49,DIABETES MELLITUS WITHOUT COMPLICATI 
50,DIABETES MELLITUS WITH COMPLICATIONS  
51,OTHER ENDOCRINE DISORDERS  
52,NUTRITIONAL DEFICIENCIES  
53,DISORDERS OF LIPID METABOLISM 
54,GOUT AND OTHER CRYSTAL ARTHROPATHIES  
55,FLUID AND ELECTROLYTE DISORDERS  
56,CYSTIC FIBROSIS  
57,IMMUNITY DISORDERS  
58,OTHER NUTRITIONAL
59,DEFICIENCY AND OTHER ANEMIA  
61,SICKLE CELL ANEMIA  
62,COAGULATION AND HEMORRHAGIC DISORDER  
63,DISEASES OF WHITE BLOOD CELLS  
64,OTHER HEMATOLOGIC CONDITIONS  
76,MENINGITIS (EXCEPT THAT CAUSED BY TU  
77,ENCEPHALITIS (EXCEPT THAT CAUSED BY  
78,OTHER CNS INFECTION AND POLIOMYELITI  
79,PARKINSON'S DISEASE  
80,MULTIPLE SCLEROSIS  
81,OTHER HEREDITARY AND DEGENERATIVE NE  
82,PARALYSIS  
83,EPILEPSY
84,HEADACHE
85,COMA
86,CATARACT  
87,RETINAL DETACHMENTS
88,GLAUCOMA  
89,BLINDNESS AND VISION DEFECTS  
90,INFLAMMATION
91,OTHER EYE DISORDERS  
92,OTITIS MEDIA AND RELATED CONDITIONS 
93,CONDITIONS ASSOCIATED WITH DIZZINESS  
94,OTHER EAR AND SENSE ORGAN DISORDERS  
95,OTHER NERVOUS SYSTEM DISORDERS  
96,HEART VALVE DISORDERS  
97,PERI-
